Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
EG3185,4999,4999,0,Adidas CORE / NEO,4.7,31
EG4006,5599,5599,0,Adidas CORE / NEO,3.9,1
EG4007,5599,5599,0,Adidas CORE / NEO,3.2,94
EH1178,4999,4999,0,Adidas CORE / NEO,4.3,65
EG4316,6599,6599,0,Adidas CORE / NEO,3.4,6
EG3253,4999,4999,0,Adidas CORE / NEO,2.5,67
EG4314,6599,6599,0,Adidas CORE / NEO,3.8,36
EH1379,5599,5599,0,Adidas CORE / NEO,4.9,45
EH2586,5599,5599,0,Adidas CORE / NEO,0,4
EG3698,4999,4999,0,Adidas CORE / NEO,2.7,11
EH0165,4999,4999,0,Adidas CORE / NEO,2.8,35
EH1211,5599,5599,0,Adidas CORE / NEO,3.2,85
CK9665,5999,2999,50,Adidas CORE / NEO,4.9,72
CK9663,5999,2999,50,Adidas CORE / NEO,1.5,74
EG3953,6599,6599,0,Adidas CORE / NEO,2.9,77
EG4176,4999,4999,0,Adidas CORE / NEO,3.9,14
CI9916,4999,2499,50,Adidas CORE / NEO,0,84
EG4175,4999,4999,0,Adidas CORE / NEO,3,94
EG4004,5599,5599,0,Adidas CORE / NEO,2.5,17
CJ8068,5599,2799,50,Adidas CORE / NEO,2.6,60
CK9681,4999,2499,50,Adidas CORE / NEO,5,5
EE9731,5599,2799,50,Adidas CORE / NEO,2.9,99
CK9591,5299,2649,50,Adidas CORE / NEO,2.4,35
CK9648,4599,2299,50,Adidas CORE / NEO,4.6,36
CK9602,4599,2299,50,Adidas CORE / NEO,2.9,37
F34491,5999,2999,50,Adidas CORE / NEO,3,59
CK9693,4999,2499,50,Adidas CORE / NEO,4.6,88
CJ8013,4999,2499,50,Adidas CORE / NEO,4,77
CL7567,4999,2499,50,Adidas CORE / NEO,3.8,31
CK9694,4999,2499,50,Adidas CORE / NEO,4.5,63
CL7604,4299,2149,50,Adidas CORE / NEO,2.8,34
CL7488,3999,1999,50,Adidas CORE / NEO,4.9,73
CK9436,4299,2149,50,Adidas CORE / NEO,1,41
CK9592,5299,2649,50,Adidas CORE / NEO,1.5,2
CL7366,3799,2279,40,Adidas CORE / NEO,4.2,84
CK9661,5599,2799,50,Adidas CORE / NEO,2.6,70
CK9650,4599,2299,50,Adidas CORE / NEO,2.6,47
CL7415,4599,2759,40,Adidas CORE / NEO,4.3,94
CL7626,4599,2759,40,Adidas CORE / NEO,3.7,48
CJ7990,5599,2799,50,Adidas CORE / NEO,4.6,30
CL7534,5999,3599,40,Adidas CORE / NEO,4.5,98
CL7413,4599,2759,40,Adidas CORE / NEO,3.8,4
CK9500,4599,2299,50,Adidas CORE / NEO,5,31
CL7369,3799,2279,40,Adidas CORE / NEO,4.1,79
